data,nivel cm,ARIMA_predistion,GARCH_prediction,ARIMA-LSTM_Pred
2020-05-16,720,656.6593000773306,,
2020-05-17,728,656.1810323410773,,
2020-05-18,728,655.7042092557415,,
2020-05-19,728,655.2288267460214,,
2020-05-20,727,654.7548806953735,,
2020-05-21,727,654.282366955922,,
2020-05-22,727,653.8112813565508,,
2020-05-23,726,653.3416197095095,,
2020-05-24,726,652.8733778158061,,
2020-05-25,727,652.4065514696082,,
2020-05-26,726,651.941136461832,,
2020-05-27,726,651.4771285830691,,
2020-05-28,726,651.0145236259721,,
2020-05-29,726,650.5533173871968,,
2020-05-30,726,650.0935056689825,,
2020-05-31,724,649.6350842804379,,
2020-06-01,724,649.1780490385831,,678.6855292163284
2020-06-02,724,648.7223957691963,,
2020-06-03,726,648.2681203074974,,
2020-06-04,726,647.8152184987014,,
2020-06-05,726,647.3636861984617,,
2020-06-06,728,646.9135192732278,,
2020-06-07,730,646.4647136005294,,
2020-06-08,728,646.0172650692018,,
2020-06-09,728,645.5711695795644,,
2020-06-10,726,645.1264230435588,,
2020-06-11,726,644.6830213848549,,
2020-06-12,724,644.2409605389316,,
2020-06-13,722,643.8002364531359,,
2020-06-14,720,643.3608450867232,,
2020-06-15,716,642.9227824108857,,
2020-06-16,714,642.4860444087675,,
2020-06-17,714,642.0506270754703,,
2020-06-18,710,641.6165264180522,,
2020-06-19,710,641.1837384555196,,
2020-06-20,708,640.752259218814,,
2020-06-21,706,640.3220847507948,,
2020-06-22,706,639.893211106219,,
2020-06-23,706,639.4656343517172,,
2020-06-24,704,639.0393505657684,,
2020-06-25,702,638.6143558386723,,
2020-06-26,702,638.190646272521,,
2020-06-27,700,637.7682179811679,,
2020-06-28,698,637.347067090198,,
2020-06-29,696,636.9271897368952,,
2020-06-30,694,636.5085820702104,,
2020-07-01,694,636.0912402507287,,665.5920933429497
2020-07-02,692,635.675160450636,,
2020-07-03,692,635.2603388536861,,
2020-07-04,690,634.8467716551665,,
2020-07-05,690,634.4344550618656,,
2020-07-06,688,634.0233852920372,,
2020-07-07,682,633.6135585753684,,
2020-07-08,686,633.2049711529444,,
2020-07-09,685,632.7976192772148,,
2020-07-10,680,632.3914992119601,,
2020-07-11,680,631.9866072322575,,
2020-07-12,680,631.5829396244463,,
2020-07-13,672,631.1804926860956,,
2020-07-14,668,630.779262725969,,
2020-07-15,664,630.3792460639918,,
2020-07-16,662,629.9804390312169,,
2020-07-17,658,629.5828379697917,,
2020-07-18,657,629.1864392329244,,
2020-07-19,656,628.7912391848504,,
2020-07-20,652,628.3972342007994,,
2020-07-21,650,628.0044206669618,,
2020-07-22,650,627.6127949804561,,
2020-07-23,649,627.2223535492953,,
2020-07-24,648,626.8330927923546,,
2020-07-25,647,626.4450091393378,,
2020-07-26,645,626.0580990307453,,
2020-07-27,642,625.6723589178413,,
2020-07-28,639,625.2877852626209,,
2020-07-29,636,624.9043745377779,,
2020-07-30,632,624.5221232266728,,
2020-07-31,628,624.1410278232995,,
2020-08-01,624,623.7610848322547,,653.260103601486
2020-08-02,621,623.3822907687045,,
2020-08-03,620,623.0046421583529,,
2020-08-04,616,622.6281355374101,,
2020-08-05,612,622.2527674525609,,
2020-08-06,610,621.8785344609321,,
2020-08-07,607,621.5054331300621,,
2020-08-08,606,621.1334600378685,,
2020-08-09,602,620.7626117726177,,
2020-08-10,598,620.392884932892,,
2020-08-11,594,620.0242761275605,,
2020-08-12,588,619.6567819757461,,
2020-08-13,584,619.2903991067956,,
2020-08-14,576,618.9251241602485,,
2020-08-15,572,618.5609537858061,,
2020-08-16,570,618.1978846433008,,
2020-08-17,566,617.8359134026654,,
2020-08-18,562,617.4750367439029,,
2020-08-19,558,617.1152513570557,,
2020-08-20,556,616.7565539421752,,
2020-08-21,556,616.3989412092918,,
2020-08-22,554,616.0424098783845,,
2020-08-23,552,615.686956679351,,
2020-08-24,548,615.3325783519776,,
2020-08-25,544,614.9792716459092,,
2020-08-26,540,614.6270333206198,,
2020-08-27,532,614.2758601453825,,
2020-08-28,524,613.9257488992397,,
2020-08-29,518,613.5766963709742,,
2020-08-30,515,613.2286993590792,,
2020-08-31,510,612.881754671729,,
2020-09-01,506,612.53585912675,,642.0346177885289
2020-09-02,500,612.1910095515909,,
2020-09-03,498,611.8472027832946,,
2020-09-04,494,611.5044356684683,,
2020-09-05,488,611.1627050632549,,
2020-09-06,482,610.8220078333042,,
2020-09-07,475,610.4823408537441,,
2020-09-08,476,610.1437010091518,,
2020-09-09,455,609.8060851935257,,
2020-09-10,446,609.4694903102564,,
2020-09-11,436,609.1339132720985,,
2020-09-12,426,608.7993510011422,,
2020-09-13,400,608.4658004287851,,
2020-09-14,400,608.1332584957045,,
2020-09-15,394,607.8017221518282,,
2020-09-16,386,607.471188356308,,
2020-09-17,380,607.1416540774906,,
2020-09-18,374,606.8131162928903,,
2020-09-19,368,606.4855719891615,,
2020-09-20,358,606.1590181620705,,
2020-09-21,350,605.8334518164686,,
2020-09-22,346,605.5088699662638,,
2020-09-23,336,605.1852696343941,,
2020-09-24,326,604.8626478528003,,
2020-09-25,302,604.5410016623978,,
2020-09-26,294,604.2203281130508,,
2020-09-27,284,603.9006242635439,,
2020-09-28,268,603.5818871815566,,
2020-09-29,260,603.2641139436345,,
2020-09-30,250,602.9473016351645,,
2020-10-01,240,602.6314473503468,,632.1301856558903
2020-10-02,236,602.3165481921685,,
2020-10-03,226,602.0026012723772,,
2020-10-04,221,601.6896037114544,,
2020-10-05,216,601.3775526385892,,
2020-10-06,206,601.0664451916518,,
2020-10-07,186,600.7562785171673,,
2020-10-08,186,600.4470497702896,,
2020-10-09,176,600.1387561147753,,
2020-10-10,166,599.8313947229575,,
2020-10-11,161,599.5249627757203,,
2020-10-12,146,599.2194574624724,,
2020-10-13,140,598.9148759811217,,
2020-10-14,148,598.6112155380492,,
2020-10-15,150,598.3084733480842,,
2020-10-16,164,598.0066466344779,,
2020-10-17,170,597.705732628878,,
2020-10-18,174,597.4057285713039,,
2020-10-19,176,597.1066317101211,,
2020-10-20,176,596.8084393020156,,
2020-10-21,176,596.5111486119691,,
2020-10-22,176,596.214756913234,,
2020-10-23,166,595.9192614873082,,
2020-10-24,156,595.62465962391,,
2020-10-25,145,595.3309486209538,,
2020-10-26,140,595.0381257845247,,
2020-10-27,140,594.7461884288541,,
2020-10-28,140,594.455133876295,,
2020-10-29,142,594.1649594572978,,
2020-10-30,148,593.8756625103848,,
2020-10-31,148,593.5872403821271,,
2020-11-01,150,593.2996904271193,,622.7984309944668
2020-11-02,150,593.0130100079557,,
2020-11-03,150,592.727196495206,,
2020-11-04,150,592.4422472673909,,
2020-11-05,154,592.1581597109588,,
2020-11-06,154,591.8749312202608,,
2020-11-07,154,591.5925591975276,,
2020-11-08,145,591.3110410528454,,
2020-11-09,134,591.0303742041324,,
2020-11-10,124,590.7505560771144,,
2020-11-11,128,590.4715841053019,,
2020-11-12,130,590.1934557299666,,
2020-11-13,136,589.916168400117,,
2020-11-14,140,589.6397195724766,,
2020-11-15,142,589.3641067114586,,
2020-11-16,154,589.0893272891444,,
2020-11-17,160,588.8153787852596,,
2020-11-18,168,588.5422586871506,,
2020-11-19,170,588.2699644897624,,
2020-11-20,170,587.9984936956147,,
2020-11-21,168,587.7278438147799,,
2020-11-22,162,587.4580123648595,,
2020-11-23,154,587.1889968709617,,
2020-11-24,146,586.9207948656788,,
2020-11-25,146,586.6534038890641,,
2020-11-26,150,586.3868214886099,,
2020-11-27,154,586.1210452192247,,
2020-11-28,160,585.856072643211,,
2020-11-29,168,585.5919013302423,,
2020-11-30,170,585.3285288573417,,
2020-12-01,174,585.065952808859,,614.5646956380104
2020-12-02,178,584.8041707764492,,
2020-12-03,178,584.5431803590494,,
2020-12-04,182,584.2829791628578,,
2020-12-05,188,584.0235648013114,,
2020-12-06,193,583.7649348950637,,
2020-12-07,192,583.5070870719634,,
2020-12-08,189,583.2500189670326,,
2020-12-09,190,582.9937282224447,,
2020-12-10,188,582.7382124875032,,
2020-12-11,196,582.48346941862,,
2020-12-12,198,582.2294966792938,,
2020-12-13,205,581.9762919400887,,
2020-12-14,218,581.7238528786131,,
2020-12-15,220,581.4721771794982,,
2020-12-16,236,581.2212625343763,,
2020-12-17,236,580.9711066418606,,
2020-12-18,240,580.7217072075233,,
2020-12-19,242,580.4730619438751,,
2020-12-20,253,580.2251685703435,,
2020-12-21,258,579.9780248132527,,
2020-12-22,258,579.7316284058023,,
2020-12-23,258,579.4859770880465,,
2020-12-24,260,579.2410686068736,,
2020-12-25,265,578.9969007159848,,
2020-12-26,270,578.7534711758746,,
2020-12-27,274,578.5107777538092,,
2020-12-28,278,578.2688182238064,,
2020-12-29,290,578.0275903666159,,
2020-12-30,296,577.7870919696975,,
2020-12-31,298,577.5473208272019,,
2021-01-01,310,577.3082747399505,,606.807017569102
2021-01-02,310,577.0699515154145,,
2021-01-03,325,576.8323489676951,,
2021-01-04,338,576.595464917504,,
2021-01-05,342,576.3592971921427,,
2021-01-06,354,576.1238436254827,,
2021-01-07,358,575.8891020579459,,
2021-01-08,360,575.6550703364848,,
2021-01-09,364,575.4217463145621,,
2021-01-10,375,575.1891278521323,,
2021-01-11,380,574.9572128156206,,
2021-01-12,390,574.7259990779041,,
2021-01-13,394,574.4954845182926,,
2021-01-14,400,574.2656670225085,,
2021-01-15,408,574.0365444826676,,
2021-01-16,412,573.80811479726,,
2021-01-17,416,573.5803758711304,,
2021-01-18,422,573.3533256154595,,
2021-01-19,428,573.1269619477441,,
2021-01-20,440,572.9012827917787,,
2021-01-21,440,572.676286077636,,
2021-01-22,442,572.451969741648,,
2021-01-23,444,572.2283317263871,,
2021-01-24,450,572.0053699806474,,
2021-01-25,454,571.7830824594257,,
2021-01-26,462,571.5614671239027,,
2021-01-27,470,571.3405219414245,,
2021-01-28,476,571.1202448854837,,
2021-01-29,486,570.9006339357009,,
2021-01-30,490,570.6816870778065,,
2021-01-31,496,570.4634023036217,,
2021-02-01,510,570.2457776110404,,599.7445204401918
2021-02-02,516,570.0288110040108,,
2021-02-03,522,569.8125004925171,,
2021-02-04,528,569.596844092561,,
2021-02-05,530,569.3818398261438,,
2021-02-06,532,569.1674857212485,,
2021-02-07,532,568.9537798118206,,
2021-02-08,534,568.7407201377516,,
2021-02-09,540,568.5283047448601,,
2021-02-10,546,568.3165316848737,,
2021-02-11,548,568.1053990154116,,
2021-02-12,552,567.894904799967,,
2021-02-13,554,567.6850471078886,,
2021-02-14,574,567.4758240143635,,
2021-02-15,574,567.2672336003993,,
2021-02-16,576,567.0592739528064,,
2021-02-17,586,566.8519431641807,,
2021-02-18,588,566.645239332886,,
2021-02-19,590,566.4391605630365,,
2021-02-20,592,566.2337049644794,,
2021-02-21,594,566.0288706527779,,
2021-02-22,596,565.8246557491932,,
2021-02-23,598,565.621058380668,,
2021-02-24,598,565.4180766798091,,
2021-02-25,604,565.21570878487,,
2021-02-26,610,565.013952839734,,
2021-02-27,614,564.8128069938973,,
2021-02-28,622,564.612269402452,,
2021-03-01,634,564.4123382260689,,593.9110810552203
2021-03-02,640,564.213011630981,,
2021-03-03,646,564.0142877889666,,
2021-03-04,652,563.8161648773321,,
2021-03-05,654,563.618641078896,,
2021-03-06,658,563.4217145819715,,
2021-03-07,660,563.2253835803506,,
2021-03-08,664,563.029646273287,,
2021-03-09,668,562.8345008654799,,
2021-03-10,672,562.639945567057,,
2021-03-11,680,562.445978593559,,
2021-03-12,682,562.2525981659222,,
